#1
double profiles(8760,3)
1771200.0 0.627423 0.580000
1774800.0 0.640832 0.550000
1778400.0 0.603389 0.520000
1782000.0 0.516446 0.550000
1785600.0 0.382434 0.680000
1789200.0 0.207577 0.880000
1792800.0 0.027187 1.000000
1796400.0 0.000000 0.950000
1800000.0 0.000000 0.750000
1803600.0 0.000000 0.520000
1807200.0 0.000000 0.350000
1810800.0 0.000000 0.260000
1814400.0 0.000000 0.220000
1818000.0 0.000000 0.180000
1821600.0 0.000000 0.160000
1825200.0 0.000000 0.160000
1828800.0 0.000000 0.180000
1832400.0 0.000000 0.280000
1836000.0 0.000000 0.400000
1839600.0 0.000000 0.450000
1843200.0 0.087898 0.500000
1846800.0 0.282168 0.550000
1850400.0 0.446166 0.580000
1854000.0 0.562656 0.600000
1857600.0 0.627960 0.580000
1861200.0 0.641619 0.550000
1864800.0 0.604388 0.520000
1868400.0 0.517619 0.550000
1872000.0 0.383746 0.680000
1875600.0 0.209000 0.880000
1879200.0 0.028198 1.000000
1882800.0 0.000000 0.950000
1886400.0 0.000000 0.750000
1890000.0 0.000000 0.520000
1893600.0 0.000000 0.350000
1897200.0 0.000000 0.260000
1900800.0 0.000000 0.220000
1904400.0 0.000000 0.180000
1908000.0 0.000000 0.160000
1911600.0 0.000000 0.160000
1915200.0 0.000000 0.180000
1918800.0 0.000000 0.280000
1922400.0 0.000000 0.400000
1926000.0 0.000000 0.450000
1929600.0 0.087622 0.500000
1933200.0 0.281928 0.550000
1936800.0 0.446172 0.580000
1940400.0 0.562948 0.600000
1944000.0 0.628522 0.580000
1947600.0 0.642420 0.550000
1951200.0 0.605391 0.520000
1954800.0 0.518784 0.550000
1958400.0 0.385042 0.680000
1962000.0 0.210400 0.880000
1965600.0 0.029206 1.000000
1969200.0 0.000000 0.950000
1972800.0 0.000000 0.750000
1976400.0 0.000000 0.520000
1980000.0 0.000000 0.350000
1983600.0 0.000000 0.260000
1987200.0 0.000000 0.220000
1990800.0 0.000000 0.180000
1994400.0 0.000000 0.160000
1998000.0 0.000000 0.160000
2001600.0 0.000000 0.180000
2005200.0 0.000000 0.280000
2008800.0 0.000000 0.400000
2012400.0 0.000000 0.450000
2016000.0 0.087404 0.500000
2019600.0 0.281745 0.550000
2023200.0 0.446225 0.580000
2026800.0 0.563274 0.600000
2030400.0 0.629108 0.580000
2034000.0 0.643234 0.550000
2037600.0 0.606394 0.520000
2041200.0 0.519941 0.550000
2044800.0 0.386320 0.680000
2048400.0 0.211774 0.880000
2052000.0 0.030210 1.000000
2055600.0 0.000000 0.950000
2059200.0 0.000000 0.750000
2062800.0 0.000000 0.520000
2066400.0 0.000000 0.350000
2070000.0 0.000000 0.260000
2073600.0 0.000000 0.220000
2077200.0 0.000000 0.180000
2080800.0 0.000000 0.160000
2084400.0 0.000000 0.160000
2088000.0 0.000000 0.180000
2091600.0 0.000000 0.280000
2095200.0 0.000000 0.400000
2098800.0 0.000000 0.450000
2102400.0 0.087246 0.500000
2106000.0 0.281618 0.550000
2109600.0 0.446324 0.580000
2113200.0 0.563635 0.600000
2116800.0 0.629717 0.580000
2120400.0 0.644058 0.550000
2124000.0 0.607398 0.520000
2127600.0 0.521087 0.550000
2131200.0 0.387577 0.680000
2134800.0 0.213123 0.880000
2138400.0 0.031208 1.000000
2142000.0 0.000000 0.950000
2145600.0 0.000000 0.750000
2149200.0 0.000000 0.520000
2152800.0 0.000000 0.350000
2156400.0 0.000000 0.260000
2160000.0 0.000000 0.220000
2163600.0 0.000000 0.180000
2167200.0 0.000000 0.160000
2170800.0 0.000000 0.160000
2174400.0 0.000000 0.180000
2178000.0 0.000000 0.280000
2181600.0 0.000000 0.400000
2185200.0 0.000000 0.450000
2188800.0 0.087145 0.500000
2192400.0 0.281548 0.550000
2196000.0 0.446467 0.580000
2199600.0 0.564029 0.600000
2203200.0 0.630347 0.580000
2206800.0 0.644893 0.550000
2210400.0 0.608401 0.520000
2214000.0 0.522221 0.550000
2217600.0 0.388814 0.680000
2221200.0 0.214445 0.880000
2224800.0 0.032199 1.000000
2228400.0 0.000000 0.950000
2232000.0 0.000000 0.750000
2235600.0 0.000000 0.520000
2239200.0 0.000000 0.350000
2242800.0 0.000000 0.260000
2246400.0 0.000000 0.220000
2250000.0 0.000000 0.180000
2253600.0 0.000000 0.160000
2257200.0 0.000000 0.160000
2260800.0 0.000000 0.180000
2264400.0 0.000000 0.280000
2268000.0 0.000000 0.400000
2271600.0 0.000000 0.450000
2275200.0 0.087101 0.500000
2278800.0 0.281532 0.550000
2282400.0 0.446654 0.580000
2286000.0 0.564454 0.600000
2289600.0 0.630996 0.580000
2293200.0 0.645735 0.550000
2296800.0 0.609400 0.520000
2300400.0 0.523342 0.550000
2304000.0 0.390029 0.680000
2307600.0 0.215738 0.880000
2311200.0 0.033180 1.000000
2314800.0 0.000000 0.950000
2318400.0 0.000000 0.750000
2322000.0 0.000000 0.520000
2325600.0 0.000000 0.350000
2329200.0 0.000000 0.260000
2332800.0 0.000000 0.220000
2336400.0 0.000000 0.180000
2340000.0 0.000000 0.160000
2343600.0 0.000000 0.160000
2347200.0 0.000000 0.180000
2350800.0 0.000000 0.280000
2354400.0 0.000000 0.400000
2358000.0 0.000000 0.450000
2361600.0 0.087114 0.500000
2365200.0 0.281571 0.550000
2368800.0 0.446883 0.580000
2372400.0 0.564910 0.600000
2376000.0 0.631664 0.580000
2379600.0 0.646584 0.550000
2383200.0 0.610395 0.520000
2386800.0 0.524449 0.550000
2390400.0 0.391219 0.680000
2394000.0 0.217002 0.880000
2397600.0 0.034151 1.000000
2401200.0 0.000000 0.950000
2404800.0 0.000000 0.750000
2408400.0 0.000000 0.520000
2412000.0 0.000000 0.350000
2415600.0 0.000000 0.260000
2419200.0 0.000000 0.220000
2422800.0 0.000000 0.180000
2426400.0 0.000000 0.160000
2430000.0 0.000000 0.160000
2433600.0 0.000000 0.180000
2437200.0 0.000000 0.280000
2440800.0 0.000000 0.400000
2444400.0 0.000000 0.450000
2448000.0 0.087183 0.500000
2451600.0 0.281663 0.550000
2455200.0 0.447154 0.580000
2458800.0 0.565395 0.600000
2462400.0 0.632349 0.580000
2466000.0 0.647439 0.550000
2469600.0 0.611384 0.520000
2473200.0 0.525539 0.550000
2476800.0 0.392385 0.680000
2480400.0 0.218236 0.880000
2484000.0 0.035110 1.000000
2487600.0 0.000000 0.950000
2491200.0 0.000000 0.750000
2494800.0 0.000000 0.520000
2498400.0 0.000000 0.350000
2502000.0 0.000000 0.260000
2505600.0 0.000000 0.220000
2509200.0 0.000000 0.180000
2512800.0 0.000000 0.160000
2516400.0 0.000000 0.160000
2520000.0 0.000000 0.180000
2523600.0 0.000000 0.280000
2527200.0 0.000000 0.400000
2530800.0 0.000000 0.450000
2534400.0 0.087306 0.500000
2538000.0 0.281807 0.550000
2541600.0 0.447466 0.580000
2545200.0 0.565908 0.600000
2548800.0 0.633050 0.580000
2552400.0 0.648297 0.550000
2556000.0 0.612366 0.520000
2559600.0 0.526612 0.550000
2563200.0 0.393525 0.680000
2566800.0 0.219438 0.880000
2570400.0 0.036055 1.000000
2574000.0 0.000000 0.950000
2577600.0 0.000000 0.750000
2581200.0 0.000000 0.520000
2584800.0 0.000000 0.350000
2588400.0 0.000000 0.260000
2592000.0 0.000000 0.220000
2595600.0 0.000000 0.180000
2599200.0 0.000000 0.160000
2602800.0 0.000000 0.160000
2606400.0 0.000000 0.180000
2610000.0 0.000000 0.280000
2613600.0 0.000000 0.400000
2617200.0 0.000000 0.450000
2620800.0 0.087483 0.500000
2624400.0 0.282003 0.550000
2628000.0 0.447816 0.580000
2631600.0 0.566447 0.600000
2635200.0 0.633765 0.580000
2638800.0 0.649158 0.550000
2642400.0 0.613339 0.520000
2646000.0 0.527665 0.550000
2649600.0 0.394638 0.680000
2653200.0 0.220608 0.880000
2656800.0 0.036986 1.000000
2660400.0 0.000000 0.950000
2664000.0 0.000000 0.750000
2667600.0 0.000000 0.520000
2671200.0 0.000000 0.350000
2674800.0 0.000000 0.260000
2678400.0 0.000000 0.220000
2682000.0 0.000000 0.180000
2685600.0 0.000000 0.160000
2689200.0 0.000000 0.160000
2692800.0 0.000000 0.180000
2696400.0 0.000000 0.280000
2700000.0 0.000000 0.400000
2703600.0 0.000000 0.450000
2707200.0 0.086072 0.500000
2710800.0 0.276432 0.550000
2714400.0 0.438199 0.580000
2718000.0 0.553523 0.600000
2721600.0 0.618665 0.580000
2725200.0 0.633312 0.550000
2728800.0 0.598335 0.520000
2732400.0 0.515072 0.550000
2736000.0 0.385813 0.680000
2739600.0 0.216471 0.880000
2743200.0 0.037057 1.000000
2746800.0 0.000000 0.950000
2750400.0 0.000000 0.750000
2754000.0 0.000000 0.520000
2757600.0 0.000000 0.350000
2761200.0 0.000000 0.260000
2764800.0 0.000000 0.220000
2768400.0 0.000000 0.180000
2772000.0 0.000000 0.160000
2775600.0 0.000000 0.160000
2779200.0 0.000000 0.180000
2782800.0 0.000000 0.280000
2786400.0 0.000000 0.400000
2790000.0 0.000000 0.450000
2793600.0 0.086348 0.500000
2797200.0 0.276716 0.550000
2800800.0 0.438610 0.580000
2804400.0 0.554092 0.600000
2808000.0 0.619380 0.580000
2811600.0 0.634144 0.550000
2815200.0 0.599255 0.520000
2818800.0 0.516052 0.550000
2822400.0 0.386835 0.680000
2826000.0 0.217542 0.880000
2829600.0 0.037934 1.000000
2833200.0 0.000000 0.950000
2836800.0 0.000000 0.750000
2840400.0 0.000000 0.520000
2844000.0 0.000000 0.350000
2847600.0 0.000000 0.260000
2851200.0 0.000000 0.220000
2854800.0 0.000000 0.180000
2858400.0 0.000000 0.160000
2862000.0 0.000000 0.160000
